,col1,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,period,period_err,morph,RA,DEC,GLon,GLat,kmag,Teff,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_x,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
0,0,1026032,8.46,sp,10.932,0.588,10.778,11.162,,,0.06,0.078,,,,8.4604378,2.3e-05,0.15,291.0441,36.7293,69.3036,9.8547,14.813,5715.0,Gaia DR3 2050236727912831872,291.0440499478,36.72924647986,0.0,0.0,169.0,1636148068921376768,2050236727912831872,1718777976,0.0171,0.0195,0.4226,0.0209,20.2471,0.661,0.661,0.023,-0.016,0.026,-0.055,-0.0494,-0.067,-0.0271,0.0156,-0.0251,-0.2724,-0.0724,-0.0159,-0.076,372,0,371,1,6.6017,592.2,0.135,6.3839,31,False,1.545,,,,,,,,43,29,0.036264,48,0.01866,8.545,0,0,1.253,0,373,24687.48447,7.27824,3391.96,14.706175,0.002774,43,13075.0,21.5563,606.551,15.047437,0.003315,38,16742.5,21.5151,778.175,14.188345,0.004029,1.208,0.0,2.0,0.0,1.0,0,0.859092,0.341262,0.51783,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999959,5738.7,5724.3,5767.0,3.6284,3.6171,3.6459,-0.5979,-0.6169,-0.5632,2587.6482,2551.001,2611.5837,0.1554,0.1473,0.1728,0.13,0.1232,0.1448,0.0702,0.0665,0.0781,PHOENIX,291.04404628239,36.72924655177,0.366295,0.41611,-0.0724,0.244992
1,1,1026957,21.761,sp,20.883,1.047,20.358,21.802,,,0.104,0.082,,,,21.7613058,8.81e-05,0.01,291.2545,36.7436,69.3933,9.7104,12.559,4845.0,Gaia DR3 2050239300586448000,291.25442161412,36.74342525414,0.0,0.0,165.0,1636148068921376768,2050239300586448000,1658201972,0.0068,0.0085,5.8693,0.0089,657.7415,35.979,-7.767,0.009,-35.131,0.01,-0.1254,0.0135,-0.0493,0.032,0.1494,0.0102,-0.1336,-0.1085,-0.0355,-0.0457,405,405,404,1,-2.4657,492.58,0.024,0.75979,31,False,1.473,,,,,,,,47,26,0.014372,50,0.01541,0.05538,0,0,0.913,0,400,190343.01036,61.9897,3070.56,12.488524,0.002778,47,85282.6,118.407,720.25,13.011391,0.003171,47,149151.0,145.094,1027.96,11.813832,0.003924,1.232,0.0,0.0,0.0,0.0,0,1.197558,0.522866,0.674692,-26.25,0.78,1.0,19.0,5.0,17.0,25.094,0.88012,0.106433,917.354,10.57,5000.0,4.5,0.0,222.0,,,,11.54876,0.011405,14.0,26.67072,VARIABLE,0.0,0.0,0.99964,4855.0,4846.3,4861.4,4.5942,4.5865,4.6024,0.0531,0.0444,0.0612,168.9855,168.4665,169.4125,0.1556,0.1464,0.1621,0.1224,0.1151,0.1275,0.0644,0.0606,0.0671,MARCS,291.25446469027,36.74358139192,0.143528,0.166377,-0.0475,0.664894
2,2,1161345,8.575,sp,7.969,0.381,7.994,8.227,,,0.089,0.041,,,,4.2874555,8.6e-06,0.24,291.0488,36.8399,69.4057,9.9008,11.631,5836.0,Gaia DR3 2050249406650364160,291.04894430877,36.84007938567,0.0,0.0,176.0,1636148068921376768,2050249406650364160,753899494,0.0102,0.0121,4.3241,0.0127,339.7061,8.011,1.589,0.014,7.852,0.015,-0.0215,0.064,-0.1162,0.0134,-0.0356,0.013,-0.3074,0.0111,0.0564,-0.0367,389,389,387,2,7.9192,977.4,0.103,14.631,31,False,1.507,,,,,,,,45,28,0.021746,50,0.01043,170.6,14,0,1.299,0,390,208191.82517,153.662,1354.87,12.391208,0.002869,35,113329.0,2205.12,51.3935,12.702691,0.021309,43,186702.0,4924.23,37.915,11.570021,0.028884,1.441,16.0,15.0,21.0,22.0,0,1.13267,0.311483,0.821187,-23.25,1.16,1.0,13.0,9.0,10.0,20.258,1.5252,0.113543,888.29,11.79,5250.0,4.5,0.25,222.0,,,,11.536986,0.030021,4.0,21.64959,NOT_AVAILABLE,0.0,0.0,0.999726,5282.7,5274.0,5291.2,4.4745,4.4718,4.4791,0.0569,0.0438,0.0681,229.9251,229.2681,230.5426,0.2172,0.2086,0.2248,0.1759,0.1689,0.1821,0.0933,0.0895,0.0965,MARCS,291.04893548388,36.84004448966,0.218353,0.250004,-0.0372,0.76512
3,3,1432214,161.788,np,161.67,0.157,,,,,,,,,a,161.7883,0.0015784,0.0,291.3827,37.073,69.7386,9.767,15.661,5814.0,Gaia DR3 2051749484112291200,291.38264711409,37.07297473461,0.0,0.0,163.0,1636148068921376768,2051749484112291200,1395685654,0.0211,0.0228,0.5283,0.0256,20.6426,6.128,-3.489,0.029,-5.038,0.031,-0.0506,0.1261,0.0013,-0.0788,0.0483,-0.0514,-0.1575,-0.0023,-0.0805,-0.1708,383,0,380,3,-0.2759,383.06,0.017,0.047489,31,False,1.534,,,,,,,,44,27,0.045211,50,0.01802,11.15,0,0,0.989,0,378,10940.43866,3.17936,3441.08,15.58978,0.002773,45,5632.77,9.9272,567.408,15.961737,0.003383,47,7578.95,11.2157,675.747,15.048873,0.004107,1.208,0.0,1.0,0.0,0.0,0,0.912864,0.371957,0.540907,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999943,5703.5,5688.6,5722.4,4.3418,4.3206,4.3676,-0.1253,-0.1437,-0.1041,1414.3218,1369.3438,1456.0956,0.2436,0.2335,0.2556,0.2026,0.1941,0.2127,0.1086,0.1041,0.1141,MARCS,291.3826665497,37.0729971252,0.456929,0.502884,-0.1634,0.180588
4,4,1433410,0.283,ev,,,,,,,,,,,,0.2832752,3.1e-06,0.74,291.6377,37.0823,69.8401,9.5895,14.119,6003.0,Gaia DR3 2051751202101150080,291.63774810112,37.08223339217,0.0,0.0,152.0,1636148068921376768,2051751202101150080,537034614,0.3017,0.3293,-0.0996,0.3747,-0.2657,9.175,3.585,0.402,-8.446,0.454,-0.1293,-0.0325,-0.1489,-0.0264,0.2178,-0.0382,-0.1065,0.0833,-0.1769,-0.1883,393,0,389,4,181.4709,401000.0,4.129,8609.3,95,False,,1.8907,0.0953,-0.158,-0.012,0.007,-0.01,-0.14,46,28,0.658272,52,0.1249,148.4,50,0,12.446,0,358,38166.22677,169.103,225.699,14.233169,0.005544,47,22186.2,148.616,149.285,14.473335,0.00779,47,32461.8,256.789,126.414,13.469463,0.009383,1.432,0.0,1.0,0.0,1.0,0,1.003872,0.240167,0.763705,-17.6,9.26,2.0,21.0,6.0,18.0,7.1211,,,884.619,,6000.0,4.0,-0.25,222.0,,,,13.194245,0.045716,14.0,,NOT_AVAILABLE,0.0,0.0,0.999865,,,,,,,,,,,,,,,,,,,,,,,291.63772812745,37.08227092941,6.485481,7.306751,-0.183,0.271384
5,5,1433980,1.593,ev,,,,,,,,,,,,1.5926344,6.2e-06,0.62,291.7663,37.0972,69.9006,9.5048,14.915,6345.0,Gaia DR3 2051705641084833280,291.7662937141,37.09714576803,0.0,0.0,164.0,1636148068921376768,2051705641084833280,635276874,0.0152,0.0182,0.2446,0.0198,12.34,9.318,-4.845,0.02,-7.959,0.022,-0.1145,-0.0315,-0.2201,-0.0118,0.3652,-0.0403,-0.232,-0.0721,-0.135,-0.0437,414,0,413,1,0.2729,430.44,0.0,0.0,31,False,1.538,,,,,,,,47,27,0.031043,49,0.0177,132.5,0,0,1.009,0,403,20528.16554,46.7016,439.561,14.906491,0.0037,48,10662.7,83.4423,127.785,15.268873,0.008943,48,14150.5,98.3079,143.941,14.370965,0.008437,1.209,0.0,0.0,0.0,0.0,0,0.897908,0.362382,0.535526,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999989,7028.4,6994.9,7058.7,3.9696,3.9457,3.9932,0.5231,0.5072,0.5402,2682.7136,2596.7742,2765.377,0.961,0.9439,0.976,0.8268,0.8116,0.8402,0.4427,0.4346,0.4498,MARCS,291.76632071221,37.0971811399,0.319539,0.356945,-0.0403,0.190642
6,6,1571511,14.022,np,98.858,0.315,,,,,,,,,a,14.022451,4.72e-05,0.17,290.9969,37.1992,69.7133,10.0985,13.424,5804.0,Gaia DR3 2051015319580760448,290.99688373224,37.19917390609,0.0,0.0,177.0,1636148068921376768,2051015319580760448,577578844,0.0085,0.0108,1.2781,0.0109,117.368,9.767,-2.525,0.011,-9.435,0.014,-0.0236,0.075,-0.1941,-0.0478,0.0748,-0.0811,-0.4114,-0.2539,0.0214,0.0212,396,0,396,0,0.0641,395.88,0.0,0.0,31,False,1.548,,,,,,,,46,28,0.019565,48,0.0009208,42.95,0,0,1.001,0,372,82757.99858,13.626,6073.52,13.392842,0.002761,44,43809.5,28.3158,1547.18,13.734622,0.002877,41,55506.6,18.7726,2956.79,12.887034,0.003797,1.2,0.0,0.0,0.0,0.0,0,0.847588,0.34178,0.505808,-23.32,2.16,2.0,29.0,4.0,21.0,13.957,,,884.368,,5750.0,4.5,-0.25,222.0,,,,12.666148,0.036997,25.0,,NOT_AVAILABLE,0.0,0.0,0.999862,6020.7,6012.3,6029.6,4.2216,4.2166,4.2266,-0.0667,-0.0744,-0.0598,765.9385,760.0371,772.288,0.2128,0.2079,0.2182,0.1787,0.1745,0.1833,0.0955,0.0932,0.0979,PHOENIX,290.99689781993,37.19921583796,0.181816,0.222916,0.0265,0.103841
7,7,1575690,2.252,sp,2.248,1.39,2.243,2.256,,,0.109,0.351,,,,2.2524281,4.3e-06,0.31,291.8819,37.1891,70.0261,9.4644,15.625,4140.0,Gaia DR3 2051729933420237184,291.88189627259,37.18906027074,0.0,0.0,5.0,1636148068921376768,2051729933420237184,711885184,0.1251,0.1416,1.0298,0.1556,6.618,9.248,-4.497,0.166,-8.081,0.181,0.0202,-0.0104,-0.0661,0.0146,0.1604,0.0042,-0.2175,-0.0205,-0.1286,0.0722,405,0,401,4,102.6193,16448.0,1.788,441.53,31,False,1.392,,,,,,,,46,29,0.256271,49,0.04964,121.2,0,0,6.354,0,407,10265.31437,16.9171,606.802,15.658937,0.003285,45,3731.9,8.9877,415.223,16.408718,0.003824,44,9979.27,16.4363,607.15,14.750149,0.004181,1.336,0.0,0.0,0.0,1.0,0,1.658569,0.749782,0.908788,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.998258,4225.9,4080.5,4402.9,4.1485,4.1198,4.2824,-0.6564,-0.7367,-0.5371,675.6755,601.9432,697.6,0.5661,0.2519,0.853,0.4181,0.1843,0.6367,0.2246,0.0997,0.342,MARCS,291.8819213624,37.18909618746,2.669938,2.933972,0.0702,0.137531
8,8,1722276,569.95,sp,1.921,0.378,2.1,2.105,,,0.107,0.034,0.014,0.014,,569.95,0.0073539,0.0,291.6967,37.238,70.0025,9.618,14.645,5370.0,Gaia DR3 2051754603713617920,291.69666938323,37.23800327028,0.0,0.0,170.0,1636148068921376768,2051754603713617920,807643606,0.0172,0.0216,0.8822,0.0227,38.9169,3.609,0.23,0.022,-3.601,0.027,-0.085,-0.1272,0.0808,-0.0585,0.207,-0.0865,-0.0823,-0.1304,0.004,-0.0473,387,0,385,2,13.3897,903.57,0.158,8.8401,31,False,1.502,,,,,,,,45,25,0.037095,49,0.01275,168.2,8,0,1.522,0,391,25255.17431,9.6077,2628.64,14.681491,0.002786,46,12329.3,16.209,760.645,15.111197,0.003134,45,19116.8,16.8709,1133.12,14.044358,0.003899,1.245,0.0,0.0,0.0,0.0,0,1.066839,0.429707,0.637133,82.37,7.39,2.0,15.0,1.0,13.0,3.4417,,,855.379,,5250.0,4.0,0.0,222.0,,,,13.787204,0.170486,14.0,,NOT_AVAILABLE,0.0,0.0,0.999871,5837.8,5768.4,5916.0,4.4129,4.2736,4.493,0.183,0.109,0.2597,887.2792,781.3092,984.6127,0.6408,0.6007,0.6891,0.5275,0.4939,0.5683,0.2822,0.2643,0.3039,MARCS,291.69666809726,37.23801927549,0.351986,0.429983,-0.0402,0.08911
9,9,1868650,0.585,ev,,,,,,,,,,,,0.5847312,5e-07,1.0,291.5394,37.3356,70.0336,9.7738,13.453,10733.0,Gaia DR3 2051770507972278016,291.53935756694,37.33556192999,0.0,0.0,167.0,1636148068921376768,2051770507972278016,1326787363,0.0186,0.0211,1.7169,0.0237,72.386,9.139,2.626,0.024,-8.754,0.027,-0.0629,-0.1195,0.0625,-0.0383,0.1237,-0.0751,-0.0943,-0.154,-0.1069,0.0056,400,0,400,0,1.9978,1711.7,0.231,37.246,31,False,1.843,,,,,,,,46,28,0.037502,49,0.01085,9.573,0,0,1.071,0,401,68757.80029,61.6609,1115.1,13.594062,0.002922,48,55006.1,105.331,522.223,13.487515,0.00348,48,24112.1,99.7362,241.759,13.792308,0.00587,1.151,0.0,1.0,0.0,1.0,0,-0.304792,-0.106546,-0.198246,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,291.53934288794,37.33560083571,0.387806,0.434918,0.0109,0.188044
