,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note
0,1026032,8.46,sp,10.932,0.588,10.778,11.162,,,0.06,0.078,,,
1,1026957,21.761,sp,20.883,1.047,20.358,21.802,,,0.104,0.082,,,
2,1161345,8.575,sp,7.969,0.381,7.994,8.227,,,0.089,0.041,,,
3,1432214,161.788,np,161.67,0.157,,,,,,,,,a
4,1433410,0.283,ev,,,,,,,,,,,
5,1433980,1.593,ev,,,,,,,,,,,
6,1571511,14.022,np,98.858,0.315,,,,,,,,,a
7,1575690,2.252,sp,2.248,1.39,2.243,2.256,,,0.109,0.351,,,
8,1722276,569.95,sp,1.921,0.378,2.1,2.105,,,0.107,0.034,0.014,0.014,
9,1868650,0.585,ev,,,,,,,,,,,
10,1873513,3.29,np,35.186,0.946,,,,,,,,,a
11,1995732,77.363,np,77.178,0.895,,,,,,,,,a
12,2019076,7.129,sp,8.623,0.787,8.188,8.325,9.623,,0.165,0.05,0.122,,
13,2141697,0.331,ev,,,,,,,,,,,
14,2159783,0.374,ev,,,,,,,,,,,
15,2161623,2.283,ev,,,,,,,,,,,
16,2162994,4.102,sp,4.066,0.324,4.054,4.108,4.195,,0.034,0.026,0.03,,
17,2166200,8.097,np,55.13,0.391,,,,,,,,,a
18,2167890,2.648,sp,2.616,0.772,2.56,2.677,,,0.171,0.131,,,
19,2305372,1.405,ev,,,,,,,,,,,
20,2305543,1.362,sp,1.349,0.96,1.339,1.352,1.359,1.37,0.056,0.068,0.062,0.059,
21,2306740,10.307,sp,0.695,0.168,0.733,0.734,,,0.076,0.065,,,
22,2306756,386.6,np,179.571,0.018,,,,,,,,,a
23,2307199,13.447,sp,13.65,0.954,,,,,,,,,
24,2307206,204.031,np,101.657,0.435,,,,,,,,,a
25,2308957,2.22,ev,,,,,,,,,,,
26,2309587,1.839,sp,1.839,1.036,,,,,,,,,
27,2309719,54.356,sp,11.116,0.353,11.015,12.718,13.724,14.191,0.019,0.01,0.018,0.011,
28,2436378,8.532,np,13.507,0.018,,,,,,,,,a
29,2437060,3.187,sp,3.188,1.307,,,,,,,,,
30,2437149,18.799,np,15.162,0.114,,,,,,,,,a
31,2437452,14.47,np,19.024,0.436,,,,,,,,,a
32,2437505,21.476,np,4.945,0.015,,,,,,,,,a
33,2438061,4.886,sp,4.741,1.476,4.709,4.738,,,0.226,0.485,,,
34,2438490,3.316,sp,3.269,1.581,3.194,3.307,3.341,,0.162,0.106,0.139,,
35,2440757,1.434,np,2.861,0.106,,,,,,,,,a
36,2441161,4.384,sp,4.332,1.543,,,,,,,,,
37,2442084,49.789,sp,22.579,0.761,21.614,22.647,,,0.093,0.111,,,
