tic__tess_id,tic__ra,tic__dec,tic__Tmag,bjd0,period,morph_coeff,
0233866651, 304.255424, 57.797790, 10.00, 1713.945674, , -1.000,
0107548305, 212.817308, -30.884359, 12.49, 1600.122599, 0.0489790, 0.949,
0467187065, 296.178558, 54.828580, 16.01, 1683.814969, 0.0641622, 0.499,
0369586828, 2.517347, -46.015651, 11.48, 1354.160426, 0.0820144, 0.629,
0611402948, 18.412876, 22.960853, 16.94, 1764.854262, 0.0933697, 0.472,
0099641129, 107.675213, 66.928756, 14.86, 1842.652993, 0.0956464, 0.543,
0455206965, 125.223066, 0.145417, 15.35, 1491.693207, 0.0962362, 0.529,
0175402069, 204.700611, -2.030336, 14.02, 1929.827335, 0.1010169, 0.516,
0229676244, 253.182900, 76.852630, 7.05, 1683.967461, 0.1059836, 0.629,
0281948821, 286.648432, 28.122433, 15.53, 1683.411821, 0.1121159, 0.507,
0124604724, 199.673095, -31.718633, 13.01, 1570.875233, 0.1169202, 0.697,
0193092806, 156.735311, -27.382527, 14.70, 1544.424721, 0.1185081, 0.516,
1957912171, 316.005927, 34.610080, 17.65, 1711.476160, 0.1185566, 0.463,
0264615805, 34.508793, 56.266922, 9.96, 1790.722751, 0.1201045, 0.600,
0293605127, 149.583610, -14.284925, 13.84, 1517.432470, 0.1207862, 0.637,
0271164763, 294.635885, 46.066428, 12.46, 1683.464470, 0.1257648, 0.604,
1713419350, 286.330871, 30.256820, 15.92, 1683.387176, 0.1296923, 0.572,
0396004353, 210.481048, -75.226018, 13.72, 1597.176388, 0.1315314, 0.502,
0198008281, 60.266405, -54.406192, 7.88, 1386.100947, 0.1315587, 0.741,
0071266846, 113.422508, 67.537668, 15.80, 1842.643062, 0.1336195, 0.582,
0285019418, 158.470313, 58.781867, 14.00, 1870.573316, 0.1366069, 0.554,
0269697721, 301.615325, 70.659784, 7.68, 1712.922460, 0.1371700, 0.682,
0219788401, 264.505850, 63.239012, 11.12, 1816.918600, 0.1371852, 0.763,
0073764693, 155.841228, -37.616640, 11.78, 1544.388542, 0.1392960, 0.657,
0018250189, 22.999417, 29.822794, 15.20, 1764.730919, 0.1396417, 0.556,
0032008233, 116.731200, -9.575143, 13.52, 1491.662482, 0.1416123, 0.588,
0088459699, 105.527455, 62.162236, 10.52, 1842.620228, 0.1451026, 0.463,
0440666925, 7.524201, 26.290677, 14.70, 1764.789104, 0.1463486, 0.524,
0248394273, 76.533256, -1.828645, 14.02, 1438.015043, 0.1485855, 0.725,
0248394276, 76.533529, -1.831013, 14.31, 1438.903895, 0.1486144, 0.689,
0142047616, 76.701172, 83.323126, 14.93, 1816.255777, 0.1487238, 0.547,
0358022169, 193.655647, -80.072869, 9.39, 1597.259535, 0.1516228, 0.553,
