col1,TIC,period,morph,RA,DEC,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
3208,271924412,4.1506128,0.377,126.193107,-28.062402,Gaia DR3 5645198846577841792,126.19308732497,-28.06239363362,0.0,0.0,24.0,1636148068921376768,5645198846577841792,880876378,0.0117,0.0149,0.8184,0.0224,36.6138,4.256,-3.784,0.017,1.948,0.02,0.2816,0.16,-0.0964,-0.1175,0.0743,-0.0892,-0.134,0.0326,-0.213,0.3088,640,640,631,9,10.0835,4065.7,0.193,73.251,31,true,1.71,,,,,,,,72,24,0.030144,81,0.01966,43.87,0,0,1.298,0,657,1597360.38517,438.783,3640.44,10.17886,0.002771,72,1107600.0,333.843,3317.71,10.227588,0.002809,72,749723.0,166.979,4489.93,10.060644,0.003787,1.163,0,0,0,0,0,0.166944,0.048728,0.118216,38.84,5.79,1,35,14,19,98.046,17.738,0.0,891.956,85.62,9000.0,4.0,0.25,555,160.6659,36.4222,18,9.981363,0.007976,18,,NOT_AVAILABLE,0.0,0.0,0.99971,8000.0,7999.9,8000.0,3.2532,3.2531,3.2533,-2.6207,-2.6281,-2.5948,1280.8729,1280.8209,1280.9742,0.0,0.0,1.0E-4,0.0,0.0,1.0E-4,0.0,0.0,1.0E-4,MARCS,126.19310638458,-28.06240228994,0.277816,0.321833,0.3146,0.069381
3209,356064345,4.1513337,0.585,257.876353,23.236686,Gaia DR3 4568700409479281920,257.87635452741,23.23670034105,0.0,0.0,9.0,1636148068921376768,4568700409479281920,59028678,0.0061,0.0087,0.8026,0.0117,68.7225,3.213,0.28,0.008,3.201,0.011,0.1174,-0.0497,0.0506,0.0131,0.0593,7.0E-4,-0.1342,-0.1257,0.0557,0.1637,605,605,600,5,-0.1126,1071.1,0.071,9.4028,31,true,1.556,,,,,,,,70,29,0.0156,74,0.0322,36.58,0,0,0.996,0,567,268860.77426,269.775,996.611,12.113548,0.002963,67,144592.0,370.435,390.329,12.438184,0.00394,69,179191.0,767.239,233.553,11.614605,0.005991,1.204,0,0,0,0,0,0.823579,0.324636,0.498943,59.03,6.96,1,46,1,26,48.137,46.589,0.0,954.484,121.6,6500.0,4.0,0.0,440,27.132,83.1099,36,11.382253,0.023614,43,,VARIABLE,0.0,0.0,0.999982,6432.4,6423.6,6442.7,3.4741,3.4516,3.4939,-0.486,-0.4875,-0.4847,1206.862,1179.3354,1237.1458,0.5522,0.547,0.5579,0.4733,0.4687,0.4783,0.2567,0.2542,0.2594,MARCS,257.87635317396,23.23668611372,0.133648,0.178396,0.1623,0.051874
3210,355601117,4.1519578,0.489,357.668539,-57.50597,Gaia DR3 6495077560531023616,357.66855603063,-57.50597592145,0.0,0.0,148.0,1636148068921376768,6495077560531023616,686604555,0.0093,0.0103,1.6883,0.0138,122.3044,2.479,2.103,0.013,-1.313,0.014,-0.2231,0.1635,-0.1035,0.0845,-0.1019,0.1145,-0.1034,-0.0728,-0.1168,-0.292,459,459,455,4,0.7266,1355.7,0.101,17.934,31,true,1.557,,,,,,,,52,28,0.021435,59,0.01887,142.7,0,0,1.024,0,461,419583.15165,186.855,2245.5,11.630322,0.002797,52,226394.0,256.439,882.835,11.951382,0.003049,51,275792.0,228.693,1205.95,11.146441,0.003885,1.197,0,0,0,0,0,0.80494,0.32106,0.48388,7.05,7.04,1,29,5,21,47.287,43.557,0.0,941.647,100.72,6250.0,4.0,0.0,222,25.8378,12.0989,19,10.955917,0.012017,21,46.6075,NOT_AVAILABLE,0.0,0.0,0.999661,,,,,,,,,,,,,,,,,,,,,,,357.6685386315,-57.50597008542,0.203371,0.229395,-0.2981,0.039233
3211,369506001,4.1529469,0.272,192.297066,-60.956336,Gaia DR3 6055614891922556800,192.29631458325,-60.95643942826,0.0,0.0,30.0,1636148068921376768,6055614891922556800,1253487107,0.0101,0.0117,11.2763,0.0148,763.5267,85.336,-82.134,0.013,-23.158,0.016,0.2732,-0.0381,-0.3101,-0.0929,-0.1085,-0.0836,-0.2225,0.0355,0.0781,0.4116,441,441,434,7,-0.3529,967.15,0.091,10.38,31,false,1.524,,,,,,,,50,25,0.02519,56,0.02285,151.5,0,0,0.987,1,441,1596650.58575,330.02,4838.05,10.179342,0.002764,52,802451.0,331.806,2418.44,10.577496,0.002826,52,1127880.0,255.228,4419.12,9.617238,0.003787,1.209,0,0,0,0,0,0.960258,0.398153,0.562104,-5.89,0.19,1,20,9,16,108.85,0.51416,0.178743,849.079,1.89,5500.0,4.5,0.25,444,7.8904,4.364,10,9.408237,0.007363,10,,NOT_AVAILABLE,0.0,0.0,0.998613,5458.9,5454.5,5471.5,4.5709,4.5673,4.5808,0.0475,0.0424,0.0611,88.1557,87.9123,88.3314,0.1472,0.144,0.1556,0.1208,0.1181,0.1278,0.0642,0.0627,0.0679,MARCS,192.29706650153,-60.95633650284,0.216809,0.265781,0.4093,1.365023
3212,158150633,4.156442,0.276,162.132537,-38.902277,Gaia DR3 5394400141195548160,162.13229506187,-38.90221912747,0.0,0.0,17.0,1636148068921376768,5394400141195548160,836609298,0.1048,0.1296,3.9455,0.1843,21.4043,48.263,-46.66,0.168,12.333,0.17,0.1424,0.0342,0.0316,0.1973,0.028,0.2375,0.1515,0.0928,-0.0184,0.2611,466,407,465,1,152.5072,121810.0,1.678,3740.7,95,false,,1.3975,0.0295,-0.061,-0.155,-0.04,0.026,-0.084,54,21,0.265627,62,0.0721,83.87,60,0,9.089,0,526,139186.06275,266.78,521.726,12.828378,0.003453,60,59456.2,220.779,269.302,13.403049,0.004903,57,124728.0,286.443,435.437,12.007988,0.004528,1.323,0,0,0,0,0,1.395061,0.574672,0.82039,12.1,10.22,1,24,6,14,31.603,43.632,0.0,893.429,143.03,4000.0,3.0,0.0,333,,,,11.676452,0.021989,18,,NOT_AVAILABLE,0.0,0.0,0.999712,4688.3,4674.9,4703.5,4.1966,4.1713,4.2347,-0.5716,-0.5896,-0.5544,262.2703,252.2857,270.1335,0.5466,0.5328,0.5611,0.4225,0.4116,0.4339,0.2268,0.221,0.2329,MARCS,162.13256154189,-38.90227393985,2.693212,2.701542,0.244,0.709107
3213,11748495,4.1615575,0.514,129.009904,-34.211172,Gaia DR3 5638849854123034368,129.00984542269,-34.21113725298,0.0,0.0,16.0,1636148068921376768,5638849854123034368,316945637,0.0078,0.0104,2.2932,0.0123,186.747,13.517,-10.852,0.01,8.058,0.012,0.1875,0.0529,-0.087,0.0139,0.2915,0.0392,-0.217,0.0425,-0.1489,0.2191,485,485,478,7,0.4271,897.36,0.079,9.1851,31,false,1.485,,,,,,,,55,27,0.017347,62,0.01038,106.4,0,0,1.013,0,510,3706543.34135,575.202,6443.9,9.264944,0.00276,58,1709230.0,945.097,1808.52,9.756542,0.002854,57,2843650.0,828.897,3430.65,8.613205,0.003793,1.228,0,0,0,0,0,1.143337,0.491598,0.651739,24.96,0.14,1,8,3,8,118.97,-0.61301,0.552609,739.399,0.63,4750.0,2.5,0.25,444,,,,8.353267,0.007394,3,,NOT_AVAILABLE,0.0,0.0,0.999936,,,,,,,,,,,,,,,,,,,,,,,129.00990374804,-34.2111730684,0.165471,0.191438,0.2128,0.214614
3214,420757505,4.1659314,0.403,67.175376,79.701928,Gaia DR3 556510633510697984,67.17404496743,79.70178921848,0.0,0.0,137.0,1636148068921376768,556510633510697984,410150696,0.0158,0.0158,9.511,0.0204,465.82,62.046,-53.599,0.017,-31.255,0.02,-0.0948,0.3386,-0.0609,0.102,0.0073,0.0457,0.0207,0.1115,0.1782,-0.062,415,415,415,0,2.5237,1166.0,0.166,21.614,31,false,1.601,,,,,,,,47,23,0.027808,55,0.01108,135.4,0,0,1.089,0,418,1.631538003733E7,3823.66,4266.95,7.655874,0.002767,45,9518010.0,7214.22,1319.34,7.892177,0.002909,39,9952170.0,7048.0,1412.06,7.253101,0.003857,1.193,0,45,0,39,0,0.639076,0.236303,0.402773,-21.88,10.41,1,24,0,16,380.51,242.67,0.0,909.864,128.15,6250.0,4.0,0.0,222,17.4478,0.7667,24,7.10891,0.013645,24,,VARIABLE,0.0,0.0,0.997667,6220.6,6217.2,6227.1,3.8898,3.8881,3.8916,-0.6667,-0.6781,-0.6561,104.9938,104.7543,105.2146,0.003,7.0E-4,0.007,0.0026,6.0E-4,0.006,0.0014,3.0E-4,0.0033,MARCS,67.17537751544,79.70192812506,0.277986,0.317511,-0.07,0.991668
3215,389761749,4.1720461,0.771,23.154013,61.969897,Gaia DR3 510786274246739200,23.15400047019,61.96989562505,0.0,0.0,152.0,1636148068921376768,510786274246739200,577702090,0.0074,0.0087,0.3276,0.0124,26.3645,1.474,-1.397,0.009,-0.47,0.011,-0.246,-0.0807,-0.1868,-0.0716,0.0998,-0.0979,0.0645,-0.0128,0.1115,-0.3913,551,551,545,6,-3.4724,962.75,0.07,8.167,31,false,1.612,,,,,,,,62,26,0.017163,75,0.03469,67.6,0,0,0.896,0,625,3705442.61867,4687.35,790.52,9.265266,0.003079,72,2191140.0,8105.99,270.311,9.486867,0.004891,72,2235050.0,10014.9,223.173,8.874678,0.006161,1.195,0,0,0,0,0,0.612189,0.221601,0.390589,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.00491,0.0,5.5E-5,20431.3,20423.4,20443.3,3.2575,3.2544,3.261,0.2854,0.2799,0.2922,2474.6548,2463.4534,2485.405,1.8775,1.8766,1.8784,1.7709,1.7701,1.7717,0.9671,0.9666,0.9675,OB,23.15401368574,61.96989771414,0.148898,0.181318,-0.3803,0.021768
3216,35101462,4.1729015,0.21,35.417581,-14.786705,Gaia DR3 5146606298016096256,35.41757574076,-14.78670728189,0.0,0.0,68.0,1636148068921376768,5146606298016096256,902571602,0.0273,0.0252,4.3046,0.0353,122.0424,1.3,-1.3,0.037,0.03,0.031,0.0768,0.124,-0.1973,0.1726,-0.139,0.16,-0.1402,0.0133,0.1707,-0.0413,305,305,305,0,22.8853,2674.8,0.283,80.575,31,true,1.574,,,,,,,,34,18,0.052443,37,0.03067,156.3,0,0,2.066,0,303,995402.64018,268.362,3709.19,10.692369,0.002771,35,553782.0,471.802,1173.76,10.980195,0.00294,35,636565.0,594.532,1070.7,10.238289,0.003913,1.196,0,0,0,0,0,0.741906,0.287826,0.454081,12.47,1.0,1,8,1,6,45.449,3.9204,1.3E-5,724.355,7.32,5750.0,4.0,-0.25,444,,,,10.06291,0.011565,7,,NOT_AVAILABLE,0.0,0.0,0.999527,,,,,,,,,,,,,,,,,,,,,,,35.41758171426,-14.78670741457,0.604426,0.500815,-0.0561,0.020065
3217,335995445,4.1735463,0.341,333.356243,62.534431,Gaia DR3 2204928668093914880,333.35630449856,62.53448154706,0.0,0.0,151.0,1636148068921376768,2204928668093914880,1694005522,0.0128,0.0136,1.8998,0.0147,129.3701,12.946,6.45,0.018,11.225,0.016,-0.1008,0.1922,0.2017,-0.2204,0.2951,-0.2882,0.2245,-0.0545,0.1731,-0.1675,348,348,336,12,-2.6682,904.58,0.119,18.92,31,false,1.593,,,,,,,,39,26,0.026448,45,0.003639,36.53,0,0,0.897,0,337,689668.36293,151.085,4564.76,11.090766,0.002766,42,397379.0,214.594,1851.77,11.340529,0.002851,40,421444.0,120.716,3491.22,10.686045,0.003792,1.187,0,0,0,0,0,0.654485,0.249763,0.404721,-2.65,0.72,1,13,5,12,42.941,-0.15547,0.655614,989.14,7.56,7000.0,4.0,0.0,555,6.2732,7.0637,8,10.532927,0.03095,8,,NOT_AVAILABLE,0.0,0.0,0.999947,7198.8,7194.9,7201.2,3.9678,3.9601,3.972,-0.2699,-0.2722,-0.2673,509.5104,506.0177,515.5174,0.5054,0.5038,0.5066,0.4452,0.4437,0.4463,0.2389,0.238,0.2395,PHOENIX,333.35624234268,62.5344316579,0.278769,0.261247,-0.1455,0.208661
3218,172224309,4.1737535,0.794,98.266278,35.208226,Gaia DR3 941798126564417024,98.26630419944,35.20820792221,0.0,0.0,115.0,1636148068921376768,941798126564417024,1473541100,0.0136,0.0113,2.8201,0.0147,191.9245,6.319,4.824,0.016,-4.081,0.012,-0.2293,0.2874,-0.1109,0.1869,-0.1349,0.1204,-0.5045,0.2452,0.0399,-0.0858,202,202,199,3,-1.9331,300.69,0.046,2.3116,31,true,1.48,,,,,,,,23,15,0.022383,24,0.02437,1.353,0,0,0.902,0,202,2056817.8408,6485.94,317.12,9.904377,0.004395,24,938017.0,9095.54,103.129,10.408015,0.010891,24,1594740.0,14058.8,113.434,9.24117,0.010291,1.231,0,0,0,0,0,1.166845,0.503638,0.663207,42.37,9.88,1,12,5,10,108.46,43.223,0.0,971.823,85.39,4750.0,3.0,-0.25,222,,,,8.945303,0.016201,8,,VARIABLE,0.0,0.0,0.999853,5732.8,5721.8,5744.2,3.4056,3.4013,3.4103,-0.1603,-0.1609,-0.1595,348.915,347.159,350.5831,0.7531,0.7444,0.7614,0.6112,0.6041,0.6182,0.3273,0.3234,0.3312,PHOENIX,98.26627795802,35.20822606028,0.255575,0.192295,-0.0999,0.100867
