,Unnamed: 0_x,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,percent_difference_flux_percentile,percent_beyond_1_std,skew,std,stetson_j,stetson_k,weighted_average,median_absolute_deviation,period_fast,KIC,TIC,morph_x,period_x,BP-RP,Gmag,RUWE,predicted_class,Unnamed: 0_y,period_y,morph_y,RA,DEC
0,0,0.0246552228927612,0.0320304669925134,0.0579659561470734,0.0882030183838508,0.1281762943498566,0.2232541798380572,0.0228264957593533,0.079529521732357,-3.367360166716267,0.007354937420141,-0.9972412969437984,0.6578540544103533,0.998058740508734,0.0010904073715209,2.076669181560582,271924412,271924412,0.377,4.1506128,0.166944,10.17886,1.298,ev,3208,4.1506128,0.377,126.193107,-28.062402
1,1,0.1817274987697601,0.061694481539202,0.1072806954507016,0.1604601410793062,0.301081411630014,0.4323924387099234,0.2711004479119412,0.0940855854394445,-2.274494992483073,0.0749557117974176,-0.6761161249768534,0.7518828758605992,0.9764278871383488,0.0236430168151855,2.0731239307553087,356064345,356064345,0.585,4.1513337,0.823579,12.113548,0.996,ev,3209,4.1513337,0.585,257.876353,23.236686
2,2,0.0336737036705017,0.1209964557769035,0.2240725998722993,0.3499894922137593,0.5033252049786487,0.6929108535606657,0.0190777865946099,0.0819389763779527,-2.944374171676845,0.0097714871785797,-0.995063703048492,0.7623650676332372,0.9975081740039698,0.0033480525016784,2.066223365562652,355601117,355601117,0.489,4.1519578,0.80494,11.630322,1.024,sp,3210,4.1519578,0.489,357.668539,-57.50597
3,3,0.0058652758598327,0.1517144968571978,0.2737768611424554,0.4060840357744208,0.5625531703720146,0.7766311616123401,0.0035658154829518,0.3100977606951872,-0.0741396219975989,0.0011846132890885,-0.9999298252066102,0.9928190085733664,0.99998608337927,0.0007863044738769,1.036577987072299,369506001,369506001,0.272,4.1529469,0.960258,10.179342,0.987,sp,3211,4.1529469,0.272,192.297066,-60.956336
4,4,0.1050361096858978,0.1333390942626986,0.2487997874096468,0.3822608687085702,0.5587466542119622,0.7711183993066238,0.037309624884541,0.1143490449181824,-3.5046408235512656,0.0223097744312826,-0.9590507341875448,0.6832736007333209,0.9985413190930068,0.0073692798614501,4.10233707685519,158150633,158150633,0.276,4.156442,1.395061,12.828378,9.089,sp,3212,4.156442,0.276,162.132537,-38.902277
5,5,0.0056983530521392,0.0915610450531449,0.1642397125544651,0.2456498550921609,0.3495247406404322,0.5134208178655685,0.0038061272029628,0.1424403914182018,-2.360855629551577,0.0013055696761945,-0.9999147351055776,0.7916093691944727,0.9997720145251856,0.0005056262016296,2.0806281993696194,11748495,11748495,0.514,4.1615575,1.143337,9.264944,1.013,sp,3213,4.1615575,0.514,129.009904,-34.211172
6,6,0.0802995264530181,0.0124111913902144,0.0225909345029202,0.0339489242312347,0.0488819482577404,0.2163976258502685,0.0740230690487103,0.0822997811301216,-3.737686117045981,0.0272491093557637,-0.9350624303117532,0.607936881917639,0.9914306273681952,0.0013484954833984,2.082924733996835,420757505,420757505,0.403,4.1659314,0.639076,7.655874,1.089,ev,3214,4.1659314,0.403,67.175376,79.701928
7,7,0.0637223422527313,0.1850163725573335,0.3305626702235439,0.4663208932987003,0.5862348455798685,0.8116898808966352,0.0976736540907613,0.3650931047586876,-0.6138307648340104,0.0317500047188289,-0.945491934261516,1.041891095887865,0.9950232857172242,0.0246603488922119,2.086111527039301,389761749,389761749,0.771,4.1720461,0.612189,9.265266,0.896,ev,3215,4.1720461,0.771,23.154013,61.969897
8,8,0.0319462418556213,0.1229232659963802,0.2183726149460432,0.3241228879732547,0.4559393073122483,0.6473313798072096,0.0088049883114686,0.0448748228625413,-5.327911382972293,0.0070249669337538,-0.9974098283391576,0.5556709041508732,0.9987378396773586,0.0015411376953125,0.6952610645807231,35101462,35101462,0.21,4.1729015,0.741906,10.692369,2.066,sp,3216,4.1729015,0.21,35.417581,-14.786705
9,9,0.0135612487792968,0.1513927361307154,0.2686167209742617,0.4005710026604454,0.5607198598633643,0.7698025293486127,0.0055589869625616,0.3037235136803127,-0.1042938162269706,0.0018577094081658,-0.9998273884831234,0.98510420799715,0.9999798350369444,0.0012088418006896,0.0691735015438445,335995445,335995445,0.341,4.1735463,0.654485,11.090766,0.897,sp,3217,4.1735463,0.341,333.356243,62.534431
10,10,0.0987916886806488,0.1496099017808104,0.2689761875051395,0.4016301049276534,0.5734562751231472,0.7994482171166847,0.1417621077628443,0.343317900755057,-0.0506775931139973,0.0443796130717005,-0.8822281595615519,1.0206082247308714,0.997864119928087,0.0306838452816009,2.082828167616518,172224309,172224309,0.794,4.1737535,1.166845,9.904377,0.902,ev,3218,4.1737535,0.794,98.266278,35.208226
11,11,0.0314882397651672,0.1847263597524481,0.3154414746344989,0.4370550677192605,0.5645313093283258,0.7334677621071678,0.0077424703452405,0.0452292634269505,-4.366214623120032,0.010369546942113,-0.9942606153350076,0.533461898267379,0.9978193366916406,0.0018318891525268,2.0869287694965952,333247721,333247721,0.466,4.1739304,0.156738,8.472089,0.865,ev,3219,4.1739304,0.466,99.845303,-16.12449
12,12,0.0215658545494079,0.1694717713115961,0.3071038130158455,0.4647430457271413,0.6161948093358409,0.7921839774094849,0.0185413353847586,0.3414169897779344,0.32301310025571,0.0062562803909846,-0.998037581096833,1.0264206950597303,1.000714513445223,0.0045157074928283,5.323070508809504,101462,101462,0.166,4.1739815,0.874602,10.299098,1.657,sp,3220,4.1739815,0.166,222.057654,-24.613206
13,13,0.0381853878498077,0.1411929352965785,0.2528670726322758,0.3757092244244774,0.5223567496887137,0.7327189811892623,0.0130058563301507,0.0878041717415189,-3.7746043459234553,0.0074814495378861,-0.9971044125612484,0.688847699389247,0.9990534259366431,0.0026531219482421,4.274573580726185,27312189,27312189,0.259,4.1779073,0.764759,11.33519,6.615,sp,3221,4.1779073,0.259,294.864505,52.647452
14,14,0.3214187026023865,0.0097017966616562,0.0190873620395798,0.0337239358486153,0.0573104925202153,0.1443377114111728,0.2471413448752635,0.0699338895899647,-3.750512070899227,0.0846829714254211,-0.7127185801086571,0.4703032425522928,0.9663887627291396,0.0041760206222534,2.090553089421058,141268467,141268467,0.337,4.1810902,0.71324,8.099962,0.906,sp,3223,4.1810902,0.337,82.513278,-76.248708
15,15,0.4379176497459411,0.1440125391214433,0.2615881837947707,0.3902703528881616,0.5412255989969356,0.7610251348261088,0.1985152808255203,0.2876290774806811,-0.4816964122835032,0.0668760218504273,-0.655560027693912,0.9649983166344096,0.9968174870989656,0.0419670343399047,1.0420491193937422,124106762,124106762,0.358,4.1869104,1.642005,15.756091,1.065,sp,3224,4.1869104,0.358,103.90634,-8.100017
16,16,0.0680699050426483,0.05070361993924,0.0916632735808953,0.1400346756733153,0.203549088407859,0.3071828214503102,0.0304069906644316,0.0566713071649044,-4.880885933393656,0.0161054923740658,-0.9776510734203469,0.5249830332474726,0.9969255889983284,0.0023108720779418,2.0959332246136477,198555959,198555959,0.266,4.1920513,0.71103,9.971486,0.964,sp,3225,4.1920513,0.266,238.048481,64.883468
