,TIC,period,morph,RA,DEC
1,107548305,0.048979,0.949,212.817308,-30.884359
2,467187065,0.0641622,0.499,296.178558,54.82858
3,369586828,0.0820144,0.629,2.517347,-46.015651
4,611402948,0.0933697,0.472,18.412876,22.960853
5,99641129,0.0956464,0.543,107.675213,66.928756
6,455206965,0.0962362,0.529,125.223066,0.145417
7,175402069,0.1010169,0.516,204.700611,-2.030336
8,229676244,0.1059836,0.629,253.1829,76.85263
9,281948821,0.1121159,0.507,286.648432,28.122433
10,124604724,0.1169202,0.697,199.673095,-31.718633
11,193092806,0.1185081,0.516,156.735311,-27.382527
12,1957912171,0.1185566,0.463,316.005927,34.61008
13,264615805,0.1201045,0.6,34.508793,56.266922
14,293605127,0.1207862,0.637,149.58361,-14.284925
15,271164763,0.1257648,0.604,294.635885,46.066428
16,1713419350,0.1296923,0.572,286.330871,30.25682
17,396004353,0.1315314,0.502,210.481048,-75.226018
18,198008281,0.1315587,0.741,60.266405,-54.406192
19,71266846,0.1336195,0.582,113.422508,67.537668
20,285019418,0.1366069,0.554,158.470313,58.781867
21,269697721,0.13717,0.682,301.615325,70.659784
22,219788401,0.1371852,0.763,264.50585,63.239012
23,73764693,0.139296,0.657,155.841228,-37.61664
24,18250189,0.1396417,0.556,22.999417,29.822794
25,32008233,0.1416123,0.588,116.7312,-9.575143
26,88459699,0.1451026,0.463,105.527455,62.162236
27,440666925,0.1463486,0.524,7.524201,26.290677
28,248394273,0.1485855,0.725,76.533256,-1.828645
29,248394276,0.1486144,0.689,76.533529,-1.831013
30,142047616,0.1487238,0.547,76.701172,83.323126
31,358022169,0.1516228,0.553,193.655647,-80.072869
33,355544723,0.1545267,0.539,320.360559,-54.076286
34,276252961,0.1558772,0.542,125.65021,51.090149
35,341525754,0.1567088,0.61,177.018021,25.859025
36,193537392,0.1647381,0.537,305.877163,46.524844
37,116503129,0.1712539,0.783,233.920784,45.74326
38,36077464,0.1728147,0.842,149.628909,-47.488343
39,229741985,0.1739313,0.675,279.769544,71.341063
40,157847499,0.1752063,0.619,167.380534,43.593
41,233169434,0.1757517,0.926,215.171589,68.455952
42,298498697,0.1804254,0.808,263.36657,26.929985
43,326242641,0.1824645,0.813,41.279936,-18.132505
44,155657579,0.1840702,0.602,206.479551,79.387175
45,271058763,0.1854963,0.726,132.309803,-42.332441
46,742037143,0.1872909,0.397,100.121338,38.947747
47,56001210,0.1893725,0.845,69.715528,-9.532366
48,412942849,0.1903048,0.624,204.57125,-55.571684
49,308018120,0.1905198,0.779,155.056692,-13.860107
50,285181196,0.1926343,0.527,35.211892,33.346519
51,236884425,0.1939255,0.796,303.29231,62.073165
52,429021446,0.1943339,0.579,351.709529,82.369798
53,248348545,0.1946039,0.771,17.182371,-3.667862
54,332277332,0.1966711,0.541,204.170639,51.913729
55,320173862,0.1980963,0.544,293.928725,-59.13957
56,391663438,0.1994027,0.396,297.457536,20.356798
57,12632044,0.2016308,0.849,53.181123,-8.927571
58,392909786,0.2038337,0.632,206.528175,5.115466
59,190863171,0.2043994,0.62,251.98398,-28.626219
60,61351519,0.2048657,0.619,102.629452,-13.220453
61,445829772,0.205193,0.821,173.087324,49.736019
62,62257830,0.2060441,0.544,79.559708,29.686956
63,34142502,0.2082084,0.703,94.449266,-15.689964
64,441613385,0.2082523,0.455,118.370247,72.406799
65,290170195,0.2089138,0.735,31.946385,-15.346057
66,231833204,0.208977,0.642,24.130075,-65.001646
67,120393264,0.2093105,0.648,280.776624,-56.296547
69,20095466,0.2118497,0.437,89.226638,-36.075306
70,95525590,0.2180114,0.746,202.771562,12.261746
71,95525589,0.2180114,0.747,202.774338,12.260666
72,425864141,0.2183845,0.57,352.085597,-45.917031
73,2003333263,0.220418,0.435,331.665852,32.726794
74,367683204,0.2206848,0.726,183.025157,22.532968
75,213046690,0.2258437,0.744,75.367512,-4.201918
76,318210930,0.2277127,0.792,142.544954,53.649827
77,318210930,0.2277167,0.921,142.544954,53.649827
78,24450633,0.22867,0.617,82.356372,-32.81775
79,152147549,0.2294902,0.746,169.88121,-39.84674
80,318966048,0.2306676,0.775,42.728411,1.39922
81,21174723,0.2318808,0.557,36.400648,28.09747
82,219203188,0.2319362,0.604,92.640244,-48.740379
83,231810776,0.2327289,0.704,85.674115,-53.276003
84,240706234,0.2336936,0.726,10.026116,50.237643
85,61285257,0.2345175,0.547,160.213474,15.1927
86,2046417955,0.2358838,0.522,340.213276,54.630827
87,154067797,0.2365802,0.757,207.484319,66.474449
88,48184317,0.2379106,0.4,222.727898,-33.207909
89,279615979,0.2407307,0.777,106.343801,-59.726493
92,9172417,0.2451915,0.655,62.057489,-5.7566
93,278829112,0.2457785,0.792,336.330537,-36.490794
94,207091008,0.2460469,0.742,23.984391,-52.477314
95,118826280,0.246525,0.72,11.12575,-36.108117
96,88118399,0.2478252,0.892,193.985851,14.839787
97,309659126,0.2482701,0.772,79.506756,-60.689949
98,140627676,0.2491776,0.766,70.692674,72.9783
99,396339551,0.2515667,0.731,41.298257,72.174195
100,357111084,0.2528995,0.714,107.286336,57.69234
101,408256672,0.2548968,0.727,70.567444,-25.825355
102,149622009,0.255229,0.733,202.172135,23.580261
103,252949892,0.2553831,0.482,106.945679,52.536259
104,452406965,0.255532,0.716,137.484097,-76.981706
105,289969374,0.2558883,0.738,118.627391,78.112595
106,268652258,0.2564874,0.721,17.440726,-20.216501
107,367681735,0.2567958,0.796,246.956148,72.971681
108,141975903,0.2577022,0.758,95.726479,-75.033733
109,117515123,0.2595402,0.818,339.851717,-46.875605
110,440657189,0.2601454,0.888,6.864952,26.83694
111,389728831,0.260882,0.744,350.695702,-42.810757
112,425064757,0.2615397,0.447,82.918166,-69.883933
113,179368346,0.2626685,0.731,211.860811,-38.594186
114,308076113,0.2635613,0.747,167.894919,-13.436106
115,149438705,0.2641329,0.465,140.412734,26.551328
116,49175300,0.2641902,0.888,165.295248,-31.546836
119,70761941,0.2654127,0.734,0.788318,-34.938528
120,231629787,0.2665624,0.864,317.179598,-56.618101
121,1102093577,0.2678155,0.734,225.94679,47.653977
122,283819432,0.2678155,0.75,225.947361,47.654227
124,251829135,0.2686421,0.737,6.418628,-34.828938
125,356001283,0.2687247,0.744,240.473205,24.871538
126,371738956,0.2687508,0.725,344.391394,59.077644
128,60987622,0.269598,0.874,29.492753,19.568727
129,77630842,0.2698741,0.565,153.789021,-3.14249
130,470275219,0.2707743,0.64,64.463235,51.726875
131,146557531,0.2708487,0.771,77.341789,-19.542662
132,49799894,0.2709015,0.914,47.239686,-2.863446
133,156563222,0.2711506,0.75,213.205795,24.534255
134,53479497,0.2712799,0.922,162.075026,52.308278
135,99746674,0.2716514,0.584,140.798735,47.689352
136,146637697,0.2717596,0.743,42.566346,-46.818931
137,441764197,0.2728818,0.727,261.026237,73.910508
138,219145901,0.2729386,0.88,89.392614,-51.729497
140,126637765,0.2734502,0.835,314.695952,-42.617884
146,365301387,0.2753563,0.766,46.09876,6.19667
147,31118189,0.275773,0.773,81.215114,-28.153285
148,161570793,0.2762364,0.753,74.441335,-42.893502
149,116484192,0.2764742,0.788,233.020086,45.56873
150,94637805,0.2768891,0.786,177.787916,-51.875699
151,418998975,0.2769786,0.928,345.099593,41.124679
152,105802318,0.2781131,0.876,156.716102,-36.714346
154,161665775,0.2783256,0.959,226.38548,46.443814
155,303833577,0.278512,0.784,308.988261,49.011795
156,280033934,0.2787725,0.761,297.589467,70.287651
157,280033918,0.2787728,0.799,297.6168,70.305272
158,405533713,0.2799592,0.763,202.44316,-32.333868
159,146539195,0.2801374,0.736,77.113742,-21.028984
160,434106760,0.2806312,0.769,354.529607,-13.733088
161,121009628,0.2820421,0.721,55.561372,-20.146082
162,277104322,0.2821634,0.926,84.234836,-67.001827
163,166319733,0.2822073,0.719,206.680579,-37.766783
164,417118871,0.2822315,0.785,198.96201,43.885666
165,159939533,0.2822546,0.777,240.341522,48.493887
166,374828411,0.2828824,0.727,54.996046,3.241692
167,212377300,0.2830396,0.842,26.855553,-17.066512
168,159202185,0.2835585,0.548,201.51115,27.583932
169,394596952,0.2838156,0.923,348.75473,-63.573492
170,159444225,0.2839962,0.697,290.513911,43.009781
171,263078276,0.2840349,0.711,17.803359,-79.177274
172,201796819,0.2853729,0.906,35.403642,-55.97682
173,179244391,0.2854639,0.733,79.635606,-68.225772
174,290410988,0.2858823,0.737,235.807652,-86.802007
175,123201494,0.2868434,0.56,280.902446,42.935681
176,103656297,0.2877918,0.905,152.677882,67.658806
177,230061567,0.28798,0.989,229.289015,69.104017
178,167338355,0.2883619,0.748,98.345558,-70.124828
179,253781040,0.2887024,0.944,282.60513,-37.803907
180,369639876,0.2894613,0.76,10.219112,-51.380275
181,411712609,0.2902786,0.969,219.085067,-55.258161
182,16617827,0.2906367,0.72,307.771882,38.783478
183,69559020,0.2908637,0.633,294.6671,30.507855
184,116520408,0.2908731,0.783,234.143995,46.63589
185,200645730,0.2917217,0.806,320.639584,-46.460585
186,124369049,0.2917354,0.759,256.130817,-46.812753
187,402107145,0.2923328,0.721,182.336723,-27.982195
188,129810365,0.2923476,0.869,54.255976,-41.527661
189,165458777,0.2926701,0.759,180.151349,-39.259753
190,144282524,0.2929314,0.584,97.988676,41.565901
191,198410119,0.2938984,0.899,258.966545,53.990996
192,455064763,0.2957064,0.767,77.215638,2.821042
193,305675525,0.2965474,0.853,263.021165,-61.950685
194,20212631,0.2971598,0.824,227.03806,39.97024
195,388129029,0.2972816,0.81,63.710869,-68.236089
196,387513384,0.2974686,0.782,43.007085,9.510712
197,256775514,0.2976541,0.66,50.777259,3.067809
